Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
AIEC11,10/2022,5.852,497.366,0,7,6.188,0,484.219,0,-82,3.716,493.650,3.570,0,227,0,484.219,3.627,3.627,6.959,0
AIEC11,10/2023,5.803,461.946,0,4,12.058,0,442.926,0,41,3.895,458.051,3.667,9.213,188,0,442.926,0,0,6.962,0
AIEC11,11/2020,0,485.413,0,401,20.922,0,9.742,454.744,17.360,20.224,465.189,2.750,0,114,0,464.486,3.218,3.218,5,0
AIEC11,11/2021,3.605,510.955,0,11,26.206,0,479.910,0,21.306,24.474,486.481,2.943,0,52,172,479.910,3.705,3.705,4.839,0
AIEC11,11/2022,6.543,498.577,0,8,6.698,0,484.229,0,-88,3.742,494.836,3.619,0,210,0,484.229,4.116,4.116,7.651,0
AIEC11,11/2023,6.924,464.096,0,3,12.186,0,439.783,0,1.001,4.928,459.169,3.763,9.320,163,0,439.783,0,0,12.127,0
AIEC11,12/2020,2.845,505.199,0,941,21.336,0,479.910,0,19.149,21.961,483.238,2.750,0,62,0,479.910,2.957,2.957,3.954,0
AIEC11,12/2021,3.629,516.274,0,28,26.916,0,484.471,0,21.802,25.147,491.127,2.943,0,52,350,484.471,3.834,3.834,4.887,0
AIEC11,12/2022,3.960,457.657,0,11,9.688,0,442.899,0,-123,6.464,451.193,6.369,0,218,0,442.899,7.081,7.081,5.071,0
AIEC11,12/2023,6.165,409.184,0,131,12.346,0,390.673,0,55,7.943,401.241,6.417,9.330,158,1.313,390.673,0,0,6.165,0
AIEC11,2/2021,2.776,504.364,0,103,20.554,0,479.910,0,18.414,21.216,483.148,2.750,0,52,0,479.910,2.740,2.740,3.901,0
AIEC11,2/2022,3.841,518.147,0,7,28.523,0,484.471,0,22.643,26.316,491.831,3.281,0,42,350,484.471,4.257,4.257,5.153,0
AIEC11,2/2023,7.388,457.632,0,7,6.163,0,442.926,0,-103,3.680,453.952,3.619,0,164,0,442.926,3.513,3.513,8.543,0
AIEC11,2/2024,6.526,408.910,0,263,11.710,0,390.673,0,67,3.637,405.273,3.426,8.518,144,0,390.673,0,0,6.526,0
